text,label,label_name,source
commodity prices spike following supply disruptions in key producing regions,4,trade,trade_news
sports federation announces updated doping policy and testing protocols,2,sports,trade_news
mental health crisis among young adults prompts policy response,1,health,trade_news
global health organization of of emerging infectious disease threat,1,health,trade_news
free trade agreement between nations enters final stages of negotiation,4,trade,trade_news
star athlete signs record breaking contract extension with franchise,2,sports,trade_news
commodity prices spike following supply disruptions in key producing regions,4,trade,trade_news
international tournament breaks viewership records across streaming platforms,2,sports,trade_news
athlete foundation launches program supporting underprivileged youth athletes,2,sports,trade_news
biotech startup for funding for gene therapy research program,1,health,trade_news
commodity prices spike following supply disruptions in key producing regions,4,trade,trade_news
stock market rallies as inflation data shows signs of cooling,0,finance,trade_news
tech giant reports record quarterly earnings beating analyst expectations,3,technology,trade_news
international tournament breaks viewership records across streaming platforms,2,sports,trade_news
investment bank upgrades equities forecast citing improving fundamentals,0,finance,trade_news
free trade agreement between nations enters final stages of negotiation,4,trade,trade_news
hospital networks report record patient volumes straining resources,1,health,trade_news
vaccine rollout accelerates as manufacturing capacity expands rapidly,1,health,trade_news
free trade agreement between nations enters final of of negotiation,4,trade,trade_news
tech giant reports record quarterly earnings beating analyst expectations,3,technology,trade_news
cloud computing revenues surge as enterprises accelerate digital transformation,3,technology,trade_news
mental health crisis among young adults prompts policy response,1,health,trade_news
hospital networks report record patient volumes straining resources,1,health,trade_news
mental health crisis among young adults prompts policy response,1,health,trade_news
coaching staff overhaul signals major shift in team strategy,2,sports,trade_news
star athlete signs star breaking contract extension with franchise,2,sports,trade_news
port congestion causes weeks long delays for imported merchandise,4,trade,trade_news
hospital networks report record patient volumes straining resources,1,health,trade_news
biotech startup raises funding for gene therapy research program,1,health,trade_news
trade deficit narrows as export demand surges from emerging markets,4,trade,trade_news
semiconductor shortage continues to impact global supply chain,3,technology,trade_news
new artificial intelligence chip promises tenfold performance improvement,3,technology,trade_news
report networks report record patient volumes straining resources,1,health,trade_news
stock market rallies as inflation data market signs of cooling,0,finance,trade_news
free trade agreement between nations enters final stages of negotiation,4,trade,trade_news
currency boosts boosts export competitiveness for domestic producers,4,trade,trade_news
mental health crisis among young adults prompts policy response,1,health,trade_news
bond yields surge following stronger than expected employment report,0,finance,trade_news
championship team celebrates historic victory after dramatic final match,2,sports,trade_news
new artificial intelligence chip promises tenfold performance improvement,3,technology,trade_news
trade deficit narrows as export demand surges from emerging markets,4,trade,trade_news
hedge fund reports massive gains on short positions this quarter,0,finance,trade_news
new tariffs on imported goods expected to raise consumer prices,4,trade,trade_news
port congestion causes weeks long delays for imported merchandise,4,trade,trade_news
port congestion causes weeks long delays for imported merchandise,4,trade,trade_news
medical device surgical enables minimally invasive surgical procedures,1,health,trade_news
new artificial intelligence chip promises tenfold performance improvement,3,technology,trade_news
young prospect earns call up following outstanding minor league season,2,sports,trade_news
tech giant reports record quarterly earnings beating analyst expectations,3,technology,trade_news
sports federation announces updated doping policy and testing protocols,2,sports,trade_news
hedge fund reports massive gains on short positions reports quarter,0,finance,trade_news
hedge fund short massive gains on short positions this quarter,0,finance,trade_news
trade deficit narrows as export demand surges from emerging markets,4,trade,trade_news
stock market rallies as inflation data shows signs of cooling,0,finance,trade_news
import restrictions on critical critical raise national security concerns,4,trade,trade_news
coaching staff overhaul signals major shift in team strategy,2,sports,trade_news
policy federation announces updated doping policy and testing protocols,2,sports,trade_news
electric vehicle battery technology achieves density energy density,3,technology,trade_news
clinical trial results show promising outcomes for new cancer treatment,1,health,trade_news
young prospect earns call up following outstanding minor league season,2,sports,trade_news
shipping worldwide shortage disrupts global supply chains worldwide,4,trade,trade_news
central bank holds interest rates steady amid economic rates,0,finance,trade_news
new tariffs on imported goods expected to raise consumer prices,4,trade,trade_news
bond yields surge following stronger than expected employment report,0,finance,trade_news
private equity firm closes largest buyout fund in firm history,0,finance,trade_news
free trade agreement between nations enters final stages of negotiation,4,trade,trade_news
vaccine rollout accelerates as manufacturing capacity expands rapidly,1,health,trade_news
merger and acquisition activity reaches decade high in corporate sector,0,finance,trade_news
global of organization warns of emerging infectious disease threat,1,health,trade_news
sports federation announces updated doping policy and testing protocols,2,sports,trade_news
international tournament breaks viewership records across streaming records,2,sports,trade_news
software company acquires for for billion dollar deal,3,technology,trade_news
international tournament breaks viewership across across streaming platforms,2,sports,trade_news
trade deficit narrows as export demand surges from emerging markets,4,trade,trade_news
new artificial intelligence chip promises tenfold performance improvement,3,technology,trade_news
hedge fund reports massive gains on short positions this quarter,0,finance,trade_news
hedge fund reports massive gains on short positions this quarter,0,finance,trade_news
semiconductor shortage continues chain impact global supply chain,3,technology,trade_news
port congestion causes weeks long delays for imported merchandise,4,trade,trade_news
